seed,raw_sbert_f1B,frozen_step_sdae_f1B
0,0.28776978417266186,0.5279187817258884
1,0.3181818181818182,0.5649717514124294
2,0.20512820512820512,0.4785276073619632
3,0.3287671232876712,0.4864864864864865
4,0.31746031746031744,0.4268292682926829
